Format:
predicted score, actual score, match id (cricinfo), features

Features Format:
current score, current wickets, current run rate, balls left, run rate in last 30 balls, wickets in last 30 balls, score in last 30 balls,countryId,teamplayingId,teamagainstId,groundid,daynight

260.718961499 268 1000887 [56L, 3L, 0.933, 240, 1.433, 1L, 43L, 1, 1, 10, 1, 1]
240.517337865 268 1000887 [70L, 4L, 0.778, 210, 0.467, 1L, 14L, 1, 1, 10, 1, 1]
228.905579078 268 1000887 [89L, 5L, 0.742, 180, 0.633, 1L, 19L, 1, 1, 10, 1, 1]
242.231262756 268 1000887 [114L, 5L, 0.76, 150, 0.833, 0L, 25L, 1, 1, 10, 1, 1]
265.810738971 268 1000887 [151L, 5L, 0.839, 120, 1.233, 0L, 37L, 1, 1, 10, 1, 1]
253.737374412 268 1000887 [170L, 6L, 0.81, 90, 0.633, 1L, 19L, 1, 1, 10, 1, 1]
244.588377899 268 1000887 [187L, 7L, 0.779, 60, 0.567, 1L, 17L, 1, 1, 10, 1, 1]
246.90478345 268 1000887 [218L, 8L, 0.807, 30, 1.033, 1L, 31L, 1, 1, 10, 1, 1]
241.609915532 220 1000889 [49L, 3L, 0.817, 240, 0.767, 3L, 23L, 1, 1, 10, 2, 1]
257.970414442 220 1000889 [72L, 3L, 0.8, 210, 0.767, 0L, 23L, 1, 1, 10, 2, 1]
249.948211178 220 1000889 [95L, 4L, 0.792, 180, 0.767, 1L, 23L, 1, 1, 10, 2, 1]
260.965633187 220 1000889 [120L, 4L, 0.8, 150, 0.833, 0L, 25L, 1, 1, 10, 2, 1]
245.064975904 220 1000889 [136L, 5L, 0.756, 120, 0.533, 1L, 16L, 1, 1, 10, 2, 1]
253.851784892 220 1000889 [156L, 5L, 0.743, 90, 0.667, 0L, 20L, 1, 1, 10, 2, 1]
254.874264059 220 1000889 [174L, 5L, 0.725, 60, 0.6, 0L, 18L, 1, 1, 10, 2, 1]
270.949079654 263 1000891 [49L, 1L, 0.817, 240, 0.333, 0L, 10L, 1, 10, 1, 3, 1]
264.905257069 263 1000891 [65L, 1L, 0.722, 210, 0.533, 0L, 16L, 1, 10, 1, 3, 1]
272.274030452 263 1000891 [97L, 2L, 0.808, 180, 1.067, 1L, 32L, 1, 10, 1, 3, 1]
272.357612042 263 1000891 [124L, 3L, 0.827, 150, 0.9, 1L, 27L, 1, 10, 1, 3, 1]
290.139661845 263 1000891 [153L, 3L, 0.85, 120, 0.967, 0L, 29L, 1, 10, 1, 3, 1]
282.028645554 263 1000891 [176L, 4L, 0.838, 90, 0.767, 1L, 23L, 1, 10, 1, 3, 1]
295.555025535 263 1000891 [204L, 4L, 0.85, 60, 0.933, 0L, 28L, 1, 10, 1, 3, 1]
295.776551445 263 1000891 [235L, 5L, 0.87, 30, 1.033, 1L, 31L, 1, 10, 1, 3, 1]
314.090153853 353 1000893 [63L, 0L, 1.05, 240, 0.867, 0L, 26L, 1, 1, 10, 4, 1]
313.847446282 353 1000893 [86L, 0L, 0.956, 210, 0.767, 0L, 23L, 1, 1, 10, 4, 1]
295.480581056 353 1000893 [105L, 1L, 0.875, 180, 0.633, 1L, 19L, 1, 1, 10, 4, 1]
317.172002251 353 1000893 [137L, 1L, 0.913, 150, 1.067, 0L, 32L, 1, 1, 10, 4, 1]
340.171936271 353 1000893 [175L, 1L, 0.972, 120, 1.267, 0L, 38L, 1, 1, 10, 4, 1]
352.670215486 353 1000893 [206L, 1L, 0.981, 90, 1.033, 0L, 31L, 1, 1, 10, 4, 1]
334.115611229 353 1000893 [233L, 3L, 0.971, 60, 0.9, 2L, 27L, 1, 1, 10, 4, 1]
378.118803034 353 1000893 [286L, 3L, 1.059, 30, 1.767, 0L, 53L, 1, 1, 10, 4, 1]
321.200143405 369 1000895 [67L, 0L, 1.117, 240, 1.3, 0L, 39L, 1, 1, 10, 5, 1]
317.203221281 369 1000895 [89L, 0L, 0.989, 210, 0.733, 0L, 22L, 1, 1, 10, 5, 1]
329.798125871 369 1000895 [118L, 0L, 0.983, 180, 0.967, 0L, 29L, 1, 1, 10, 5, 1]
342.03595073 369 1000895 [149L, 0L, 0.993, 150, 1.033, 0L, 31L, 1, 1, 10, 5, 1]
373.289692173 369 1000895 [195L, 0L, 1.083, 120, 1.533, 0L, 46L, 1, 1, 10, 5, 1]
402.562016934 369 1000895 [239L, 0L, 1.138, 90, 1.467, 0L, 44L, 1, 1, 10, 5, 1]
413.343810661 369 1000895 [269L, 0L, 1.121, 60, 1.0, 0L, 30L, 1, 1, 10, 5, 1]
420.222600701 369 1000895 [322L, 2L, 1.193, 30, 1.767, 2L, 53L, 1, 1, 10, 5, 1]
259.384134865 324 1001371 [43L, 1L, 0.717, 240, 0.933, 0L, 28L, 1, 1, 4, 4, 1]
256.713583871 324 1001371 [68L, 2L, 0.756, 210, 0.833, 1L, 25L, 1, 1, 4, 4, 1]
254.776998874 324 1001371 [91L, 3L, 0.758, 180, 0.767, 1L, 23L, 1, 1, 4, 4, 1]
247.32465947 324 1001371 [111L, 4L, 0.74, 150, 0.667, 1L, 20L, 1, 1, 4, 4, 1]
272.174370314 324 1001371 [146L, 4L, 0.811, 120, 1.167, 0L, 35L, 1, 1, 4, 4, 1]
276.402834333 324 1001371 [168L, 4L, 0.8, 90, 0.733, 0L, 22L, 1, 1, 4, 4, 1]
291.334024397 324 1001371 [198L, 4L, 0.825, 60, 1.0, 0L, 30L, 1, 1, 4, 4, 1]
302.929545327 324 1001371 [239L, 5L, 0.885, 30, 1.367, 1L, 41L, 1, 1, 4, 4, 1]
285.603192018 378 1001373 [50L, 0L, 0.833, 240, 1.1, 0L, 33L, 1, 1, 4, 6, 1]
283.324002201 378 1001373 [77L, 1L, 0.856, 210, 0.9, 1L, 27L, 1, 1, 4, 6, 1]
285.375558104 378 1001373 [95L, 1L, 0.792, 180, 0.6, 0L, 18L, 1, 1, 4, 6, 1]
296.443291175 378 1001373 [121L, 1L, 0.807, 150, 0.867, 0L, 26L, 1, 1, 4, 6, 1]
317.101815029 378 1001373 [156L, 1L, 0.867, 120, 1.167, 0L, 35L, 1, 1, 4, 6, 1]
336.971483205 378 1001373 [192L, 1L, 0.914, 90, 1.2, 0L, 36L, 1, 1, 4, 6, 1]
364.408576477 378 1001373 [248L, 2L, 1.033, 60, 1.867, 1L, 56L, 1, 1, 4, 6, 1]
368.918617565 378 1001373 [281L, 3L, 1.041, 30, 1.1, 1L, 33L, 1, 1, 4, 6, 1]
214.220527856 264 1001375 [26L, 2L, 0.433, 240, 0.5, 0L, 15L, 1, 1, 4, 2, 1]
240.964575642 264 1001375 [56L, 2L, 0.622, 210, 1.0, 0L, 30L, 1, 1, 4, 2, 1]
229.181572065 264 1001375 [73L, 3L, 0.608, 180, 0.567, 1L, 17L, 1, 1, 4, 2, 1]
209.604858951 264 1001375 [83L, 4L, 0.553, 150, 0.333, 1L, 10L, 1, 1, 4, 2, 1]
234.736360415 264 1001375 [115L, 4L, 0.639, 120, 1.067, 0L, 32L, 1, 1, 4, 2, 1]
250.209420518 264 1001375 [144L, 4L, 0.686, 90, 0.967, 0L, 29L, 1, 1, 4, 2, 1]
265.045493093 264 1001375 [175L, 4L, 0.729, 60, 1.033, 0L, 31L, 1, 1, 4, 2, 1]
269.332023951 264 1001375 [208L, 5L, 0.77, 30, 1.1, 1L, 33L, 1, 1, 4, 2, 1]
240.083902789 178 1003273 [38L, 1L, 0.633, 240, 0.633, 1L, 19L, 2, 9, 2, 7, 0]
266.930858569 178 1003273 [69L, 1L, 0.767, 210, 1.033, 0L, 31L, 2, 9, 2, 7, 0]
254.237694024 178 1003273 [88L, 2L, 0.733, 180, 0.633, 1L, 19L, 2, 9, 2, 7, 0]
271.121645709 178 1003273 [115L, 2L, 0.767, 150, 0.9, 0L, 27L, 2, 9, 2, 7, 0]
254.389152572 178 1003273 [143L, 4L, 0.794, 120, 0.933, 2L, 28L, 2, 9, 2, 7, 0]
305.673323272 266 1004285 [62L, 0L, 1.033, 240, 1.4, 0L, 42L, 2, 2, 5, 7, 0]
264.772667656 266 1004285 [77L, 2L, 0.856, 210, 0.5, 2L, 15L, 2, 2, 5, 7, 0]
250.719069559 266 1004285 [91L, 3L, 0.758, 180, 0.467, 1L, 14L, 2, 2, 5, 7, 0]
261.948445888 266 1004285 [116L, 3L, 0.773, 150, 0.833, 0L, 25L, 2, 2, 5, 7, 0]
246.362727722 266 1004285 [132L, 4L, 0.733, 120, 0.533, 1L, 16L, 2, 2, 5, 7, 0]
234.93386828 266 1004285 [148L, 5L, 0.705, 90, 0.533, 1L, 16L, 2, 2, 5, 7, 0]
257.063369886 266 1004285 [180L, 5L, 0.75, 60, 1.067, 0L, 32L, 2, 2, 5, 7, 0]
270.725530066 266 1004285 [209L, 5L, 0.774, 30, 0.967, 0L, 29L, 2, 2, 5, 7, 0]
212.830870894 168 1007649 [30L, 2L, 0.5, 240, 0.533, 1L, 16L, 3, 3, 8, 8, 0]
207.741754637 168 1007649 [47L, 3L, 0.522, 210, 0.567, 1L, 17L, 3, 3, 8, 8, 0]
219.356711215 168 1007649 [68L, 3L, 0.567, 180, 0.7, 0L, 21L, 3, 3, 8, 8, 0]
197.398578084 168 1007649 [77L, 4L, 0.513, 150, 0.3, 1L, 9L, 3, 3, 8, 8, 0]
179.667468095 168 1007649 [85L, 5L, 0.472, 120, 0.267, 1L, 8L, 3, 3, 8, 8, 0]
186.623377644 168 1007649 [103L, 5L, 0.49, 90, 0.6, 0L, 18L, 3, 3, 8, 8, 0]
170.342242264 168 1007649 [116L, 6L, 0.483, 60, 0.433, 1L, 13L, 3, 3, 8, 8, 0]
184.753072128 168 1007649 [139L, 6L, 0.515, 30, 0.767, 0L, 23L, 3, 3, 8, 8, 0]
231.449270436 126 1007651 [39L, 2L, 0.65, 240, 0.633, 1L, 19L, 3, 3, 8, 8, 0]
